filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	0	136		136	sil				
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	0	136		136	sil	0			
12182720305-B-韩国-3-2-4(1)_16000.xml	许	136	170	xu3	34	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	x	136	158		22	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	v	158	170		12	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	先	170	200	xian1	30	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	x	170	184		14	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	ian	184	200		16	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	生	200	243	sheng0	43	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	sh	200	216		16	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	eng	216	243		27	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	我	243	252	wo3	9	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	_u	243	246		3	paper	0	0	0	2
12182720305-B-韩国-3-2-4(1)_16000.xml	uo	246	252		6	paper	0	1	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	今	252	279	jin1	27	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	j	252	264		12	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	in	264	279		15	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	年	279	298	nian2	19	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	n	279	284		5	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	ian	284	298		14	paper	0	1	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	四	298	320	si4	22	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	s	298	312		14	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	ii	312	320		8	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	十	320	342	shi2	22	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	sh	320	330		10	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	iii	330	342		12	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	多	342	371	duo1	29	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	d	342	356		14	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	uo	356	371		15	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	岁	371	416	sui4	45	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	s	371	386		15	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	uei	386	416		30	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	416	462		46	sil				
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	416	462		46	sil	0			
12182720305-B-韩国-3-2-4(1)_16000.xml	是	462	504	shi4	42	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	sh	462	488		26	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	iii	488	504		16	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	生	504	546	sheng1	42	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	sh	504	522		18	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	eng	522	546		24	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	在	546	572	zai4	26	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	z	546	557		11	paper	0	0	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	ai	557	572		15	paper	0	1	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	新	572	608	xin1	36	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	x	572	592		20	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	in	592	608		16	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	中	608	638	zhong1	30	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	zh	608	620		12	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	ong	620	638		18	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	国	638	674	guo2	36	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	g	638	644		6	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	uo	644	674		30	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	674	774		100	sil				
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	674	774		100	sil	0			
12182720305-B-韩国-3-2-4(1)_16000.xml	长	774	806	zhang3	32	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	zh	774	782		8	paper	0	0	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	ang	782	806		24	paper	0	1	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	在	806	834	zai4	28	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	z	806	814		8	paper	0	0	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	ai	814	834		20	paper	0	1	1	3
12182720305-B-韩国-3-2-4(1)_16000.xml	红	834	882	hong2	48	paper				
12182720305-B-韩国-3-2-4(1)_16000.xml	h	834	854		20	paper	0	0	0	1
12182720305-B-韩国-3-2-4(1)_16000.xml	ong	854	882		28	paper	0	1	2	1
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	882	888		6	sil				
12182720305-B-韩国-3-2-4(1)_16000.xml	sil	882	888		6	sil	0			
12182720305-B-韩国-3-2-4(1)_16000.xml	hong	888	920	hong	32	paper				
