filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12202720403-CD-韩国-2-2-3_16000.xml	sil	0	192		192	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	0	192		192	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	王	192	232	wang2	40	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_u	192	214		22	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uang	214	232		18	paper	0	1	1	2
12202720403-CD-韩国-2-2-3_16000.xml	强	232	277	qiang2	45	paper				
12202720403-CD-韩国-2-2-3_16000.xml	q	232	258		26	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iang	258	277		19	paper	0	1	0	2
12202720403-CD-韩国-2-2-3_16000.xml	fil	277	278		1	fil				
12202720403-CD-韩国-2-2-3_16000.xml	fil	277	278		1	fil	32			
12202720403-CD-韩国-2-2-3_16000.xml	nan	278	298	nan	20	paper				
12202720403-CD-韩国-2-2-3_16000.xml	n	278	281		3	paper	32	0	32	
12202720403-CD-韩国-2-2-3_16000.xml	an	281	298		17	paper	32	1	32	
12202720403-CD-韩国-2-2-3_16000.xml	男	298	348	nan2	50	paper				
12202720403-CD-韩国-2-2-3_16000.xml	n	298	342		44	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	an	342	348		6	paper	0	1	1	2
12202720403-CD-韩国-2-2-3_16000.xml	sil	348	351		3	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	348	351		3	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	二	351	390	er4	39	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_e	351	382		31	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	er	382	390		8	paper	0	1	3	2
12202720403-CD-韩国-2-2-3_16000.xml	十	390	428	shi2	38	paper				
12202720403-CD-韩国-2-2-3_16000.xml	sh	390	412		22	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iii	412	428		16	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	四	428	458	si4	30	paper				
12202720403-CD-韩国-2-2-3_16000.xml	s	428	444		16	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ii	444	458		14	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	岁	458	505	sui4	47	paper				
12202720403-CD-韩国-2-2-3_16000.xml	s	458	478		20	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uei	478	505		27	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	sil	505	508		3	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	505	508		3	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	工	508	537	gong1	29	paper				
12202720403-CD-韩国-2-2-3_16000.xml	g	508	519		11	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ong	519	537		18	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	人	537	584	ren2	47	paper				
12202720403-CD-韩国-2-2-3_16000.xml	r	537	544		7	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	en	544	584		40	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	sil	584	648		64	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	584	648		64	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	这	648	670	zhe4	22	paper				
12202720403-CD-韩国-2-2-3_16000.xml	zh	648	662		14	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	e	662	670		8	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	几	670	698	ji3	28	paper				
12202720403-CD-韩国-2-2-3_16000.xml	j	670	686		16	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	i	686	698		12	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	年	698	734	nian2	36	paper				
12202720403-CD-韩国-2-2-3_16000.xml	n	698	712		14	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ian	712	734		22	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	fil	734	749		15	fil				
12202720403-CD-韩国-2-2-3_16000.xml	fil	734	749		15	fil	32			
12202720403-CD-韩国-2-2-3_16000.xml	不	749	770	bu2	21	paper				
12202720403-CD-韩国-2-2-3_16000.xml	b	749	756		7	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	u	756	770		14	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	断	770	802	duan4	32	paper				
12202720403-CD-韩国-2-2-3_16000.xml	d	770	778		8	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uan	778	802		24	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	地	802	844	de0	42	paper				
12202720403-CD-韩国-2-2-3_16000.xml	d	802	808		6	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	e	808	844		36	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	有	844	932	you3	88	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_i	844	911		67	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iou	911	932		21	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	人	932	978	ren2	46	paper				
12202720403-CD-韩国-2-2-3_16000.xml	r	932	939		7	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	en	939	978		39	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	给	978	1008	gei2	30	paper				
12202720403-CD-韩国-2-2-3_16000.xml	g	978	985		7	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ei	985	1008		23	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	我	1008	1060	wo3	52	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_u	1008	1022		14	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uo	1022	1060		38	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	介	1060	1102	jie4	42	paper				
12202720403-CD-韩国-2-2-3_16000.xml	j	1060	1086		26	paper	0	0	1	2
12202720403-CD-韩国-2-2-3_16000.xml	ie	1086	1102		16	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	绍	1102	1126	shao4	24	paper				
12202720403-CD-韩国-2-2-3_16000.xml	sh	1102	1118		16	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ao	1118	1126		8	paper	0	1	1	3
12202720403-CD-韩国-2-2-3_16000.xml	fil	1126	1220		94	fil				
12202720403-CD-韩国-2-2-3_16000.xml	fil	1126	1220		94	fil	32			
12202720403-CD-韩国-2-2-3_16000.xml	sil	1220	1262		42	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	1220	1262		42	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	对	1262	1286	dui4	24	paper				
12202720403-CD-韩国-2-2-3_16000.xml	d	1262	1272		10	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uei	1272	1286		14	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	象	1286	1348	xiang4	62	paper				
12202720403-CD-韩国-2-2-3_16000.xml	x	1286	1308		22	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iang	1308	1348		40	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	sil	1348	1407		59	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	1348	1407		59	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	因	1407	1443	yin1	36	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_i	1407	1428		21	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	in	1428	1443		15	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	为	1443	1474	wei4	31	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_u	1443	1446		3	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uei	1446	1474		28	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	我	1474	1530	wo3	56	paper				
12202720403-CD-韩国-2-2-3_16000.xml	_u	1474	1483		9	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	uo	1483	1530		47	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	这	1530	1560	zhe4	30	paper				
12202720403-CD-韩国-2-2-3_16000.xml	zh	1530	1546		16	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	e	1546	1560		14	paper	0	1	1	3
12202720403-CD-韩国-2-2-3_16000.xml	人	1560	1620	ren2	60	paper				
12202720403-CD-韩国-2-2-3_16000.xml	r	1560	1572		12	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	en	1572	1620		48	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	sil	1620	1660		40	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	1620	1660		40	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	没	1660	1700	mei2	40	paper				
12202720403-CD-韩国-2-2-3_16000.xml	m	1660	1680		20	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ei	1680	1700		20	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	别	1700	1726	bie2	26	paper				
12202720403-CD-韩国-2-2-3_16000.xml	b	1700	1712		12	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ie	1712	1726		14	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	的	1726	1746	de0	20	paper				
12202720403-CD-韩国-2-2-3_16000.xml	d	1726	1734		8	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	e	1734	1746		12	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	好	1746	1774	hao3	28	paper				
12202720403-CD-韩国-2-2-3_16000.xml	h	1746	1758		12	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	ao	1758	1774		16	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	处	1774	1822	chu0	48	paper				
12202720403-CD-韩国-2-2-3_16000.xml	ch	1774	1796		22	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	u	1796	1822		26	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	sil	1822	1854		32	sil				
12202720403-CD-韩国-2-2-3_16000.xml	sil	1822	1854		32	sil	0			
12202720403-CD-韩国-2-2-3_16000.xml	就	1854	1890	jiu4	36	paper				
12202720403-CD-韩国-2-2-3_16000.xml	j	1854	1876		22	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iou	1876	1890		14	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	是	1890	1928	shi4	38	paper				
12202720403-CD-韩国-2-2-3_16000.xml	sh	1890	1910		20	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iii	1910	1928		18	paper	0	1	2	1
12202720403-CD-韩国-2-2-3_16000.xml	诚	1928	1954	cheng2	26	paper				
12202720403-CD-韩国-2-2-3_16000.xml	ch	1928	1942		14	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	eng	1942	1954		12	paper	0	1	0	1
12202720403-CD-韩国-2-2-3_16000.xml	实	1954	1996	shi2	42	paper				
12202720403-CD-韩国-2-2-3_16000.xml	sh	1954	1974		20	paper	0	0	0	1
12202720403-CD-韩国-2-2-3_16000.xml	iii	1974	1996		22	paper	0	1	0	1
