filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12202720427-A-韩国-2-2-3_16000.xml	sil	0	66		66	sil				
12202720427-A-韩国-2-2-3_16000.xml	sil	0	66		66	sil	0			
12202720427-A-韩国-2-2-3_16000.xml	王	66	108	wang2	42	paper				
12202720427-A-韩国-2-2-3_16000.xml	_u	66	84		18	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	uang	84	108		24	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	强	108	158	qiang2	50	paper				
12202720427-A-韩国-2-2-3_16000.xml	q	108	124		16	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	iang	124	158		34	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	fil	158	173		15	fil				
12202720427-A-韩国-2-2-3_16000.xml	fil	158	173		15	fil	32			
12202720427-A-韩国-2-2-3_16000.xml	男	173	218	nan2	45	paper				
12202720427-A-韩国-2-2-3_16000.xml	n	173	182		9	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	an	182	218		36	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	sil	218	230		12	sil				
12202720427-A-韩国-2-2-3_16000.xml	sil	218	230		12	sil	0			
12202720427-A-韩国-2-2-3_16000.xml	二	230	262	er4	32	paper				
12202720427-A-韩国-2-2-3_16000.xml	_e	230	251		21	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	er	251	262		11	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	十	262	282	shi2	20	paper				
12202720427-A-韩国-2-2-3_16000.xml	sh	262	272		10	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	iii	272	282		10	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	四	282	307	si4	25	paper				
12202720427-A-韩国-2-2-3_16000.xml	s	282	298		16	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	ii	298	307		9	paper	0	1	2	1
12202720427-A-韩国-2-2-3_16000.xml	岁	307	351	sui4	44	paper				
12202720427-A-韩国-2-2-3_16000.xml	s	307	330		23	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	uei	330	351		21	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	sil	351	384		33	sil				
12202720427-A-韩国-2-2-3_16000.xml	sil	351	384		33	sil	0			
12202720427-A-韩国-2-2-3_16000.xml	工	384	422	gong1	38	paper				
12202720427-A-韩国-2-2-3_16000.xml	g	384	402		18	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	ong	402	422		20	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	人	422	462	ren2	40	paper				
12202720427-A-韩国-2-2-3_16000.xml	r	422	430		8	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	en	430	462		32	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	fil	462	481		19	fil				
12202720427-A-韩国-2-2-3_16000.xml	fil	462	481		19	fil	32			
12202720427-A-韩国-2-2-3_16000.xml	sil	481	489		8	sil				
12202720427-A-韩国-2-2-3_16000.xml	sil	481	489		8	sil	0			
12202720427-A-韩国-2-2-3_16000.xml	这	489	512	zhe4	23	paper				
12202720427-A-韩国-2-2-3_16000.xml	zh	489	504		15	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	e	504	512		8	paper	0	1	0	2
12202720427-A-韩国-2-2-3_16000.xml	几	512	532	ji3	20	paper				
12202720427-A-韩国-2-2-3_16000.xml	j	512	524		12	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	i	524	532		8	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	年	532	567	nian2	35	paper				
12202720427-A-韩国-2-2-3_16000.xml	n	532	548		16	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	ian	548	567		19	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	fil	567	586		19	fil				
12202720427-A-韩国-2-2-3_16000.xml	fil	567	586		19	fil	32			
12202720427-A-韩国-2-2-3_16000.xml	不	586	598	bu2	12	paper				
12202720427-A-韩国-2-2-3_16000.xml	b	586	592		6	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	u	592	598		6	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	断	598	628	duan4	30	paper				
12202720427-A-韩国-2-2-3_16000.xml	d	598	606		8	paper	0	0	0	1
12202720427-A-韩国-2-2-3_16000.xml	uan	606	628		22	paper	0	1	0	1
12202720427-A-韩国-2-2-3_16000.xml	地	628	644	de0	16	paper				
12202720427-A-韩国-2-2-3_16000.xml	d	628	633		5	paper	0	0	0	1
