filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12202720427-A-韩国-2-2-5(1)_16000.xml	sil	0	125		125	sil				
12202720427-A-韩国-2-2-5(1)_16000.xml	sil	0	125		125	sil	0			
12202720427-A-韩国-2-2-5(1)_16000.xml	李	125	156	li3	31	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	l	125	140		15	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	i	140	156		16	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	新	156	207	xin1	51	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	x	156	174		18	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	in	174	207		33	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	sil	207	210		3	sil				
12202720427-A-韩国-2-2-5(1)_16000.xml	sil	207	210		3	sil	0			
12202720427-A-韩国-2-2-5(1)_16000.xml	男	210	272	nan2	62	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	n	210	232		22	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	an	232	272		40	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	fil	272	284		12	fil				
12202720427-A-韩国-2-2-5(1)_16000.xml	fil	272	284		12	fil	32			
12202720427-A-韩国-2-2-5(1)_16000.xml	二	284	300	er4	16	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	_e	284	292		8	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	er	292	300		8	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	十	300	316	shi2	16	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	sh	300	310		10	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	iii	310	316		6	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	二	316	334	er4	18	paper				
12202720427-A-韩国-2-2-5(1)_16000.xml	_e	316	324		8	paper	0	0	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	er	324	334		10	paper	0	1	0	1
12202720427-A-韩国-2-2-5(1)_16000.xml	岁	334	372	sui4	38	paper				
