filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	0	40		40	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	0	40		40	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	我	40	72	wo3	32	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_u	40	54		14	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	uo	54	72		18	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	呢	72	114	ne0	42	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	72	84		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	e	84	114		30	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	114	126		12	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	114	126		12	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	126	132		6	fil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	126	132		6	fil	32			
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	132	146		14	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	132	146		14	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	146	315		169	fil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	146	315		169	fil	32			
12202720429-CD-韩国-2-2-4(2)_16000.xml	觉	315	344	jue2	29	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	j	315	324		9	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	ve	324	344		20	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	得	344	382	de0	38	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	d	344	350		6	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	e	350	382		32	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	382	414		32	fil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	382	414		32	fil	32			
12202720429-CD-韩国-2-2-4(2)_16000.xml	男	414	454	nan2	40	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	414	434		20	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	an	434	454		20	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	人	454	484	ren0	30	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	r	454	462		8	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	en	462	484		22	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	就	484	514	jiu4	30	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	j	484	496		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iou	496	514		18	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	要	514	576	yao4	62	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	514	526		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iao	526	576		50	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	有	576	630	you3	54	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	576	610		34	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iou	610	630		20	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	个	630	692	ge4	62	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	g	630	643		13	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	e	643	692		49	paper	0	1	0	2
12202720429-CD-韩国-2-2-4(2)_16000.xml	nan	692	775	nan	83	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	692	734		42	paper	64	0	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	an	734	775		41	paper	64	1	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	775	804		29	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	775	804		29	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	nan	804	846	nan	42	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	804	820		16	paper	64	0	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	an	820	846		26	paper	64	1	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	男	846	888	nan2	42	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	846	872		26	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	an	872	888		16	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	人	888	914	ren0	26	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	r	888	898		10	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	en	898	914		16	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	样	914	966	yang4	52	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	914	926		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iang	926	966		40	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	儿	966	974	er2	8	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_e	966	969		3	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	er	969	974		5	paper	0	1	0	2
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	974	978		4	fil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	974	978		4	fil	32			
12202720429-CD-韩国-2-2-4(2)_16000.xml	不	978	996	bu2	18	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	b	978	990		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	u	990	996		6	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	要	996	1026	yao4	30	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	996	1006		10	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iao	1006	1026		20	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	女	1026	1048	nv2	22	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	1026	1038		12	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	v	1038	1048		10	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	里	1048	1066	li3	18	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	l	1048	1057		9	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	i	1057	1066		9	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	女	1066	1088	nv3	22	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	n	1066	1075		9	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	v	1075	1088		13	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	气	1088	1122	qi4	34	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	q	1088	1108		20	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	i	1108	1122		14	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	的	1122	1142	de0	20	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	d	1122	1129		7	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	e	1129	1142		13	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	1142	1228		86	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	1142	1228		86	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	长	1228	1264	zhang3	36	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	zh	1228	1244		16	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	ang	1244	1264		20	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	1264	1306		42	sil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sil	1264	1306		42	sil	0			
12202720429-CD-韩国-2-2-4(2)_16000.xml	相	1306	1334	xiang4	28	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	x	1306	1316		10	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iang	1316	1334		18	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	shang	1334	1370	shang	36	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sh	1334	1348		14	paper	64	0	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	ang	1348	1370		22	paper	64	1	64	
12202720429-CD-韩国-2-2-4(2)_16000.xml	上	1370	1404	shang4	34	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	sh	1370	1386		16	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	ang	1386	1404		18	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	要	1404	1424	yao4	20	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	1404	1417		13	paper	0	0	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	iao	1417	1424		7	paper	0	1	0	1
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	1424	1466		42	fil				
12202720429-CD-韩国-2-2-4(2)_16000.xml	fil	1424	1466		42	fil	32			
12202720429-CD-韩国-2-2-4(2)_16000.xml	阳	1466	1484	yang2	18	paper				
12202720429-CD-韩国-2-2-4(2)_16000.xml	_i	1466	1479		13	paper	0	0	0	1
