filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12202740409-A-韩国-3-1_16000.xml	sil	0	24		24	sil				
12202740409-A-韩国-3-1_16000.xml	sil	0	24		24	sil	0			
12202740409-A-韩国-3-1_16000.xml	冷	24	72	leng3	48	paper				
12202740409-A-韩国-3-1_16000.xml	l	24	46		22	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	eng	46	72		26	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	却	72	116	que4	44	paper				
12202740409-A-韩国-3-1_16000.xml	q	72	88		16	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ve	88	116		28	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	fil	116	134		18	fil				
12202740409-A-韩国-3-1_16000.xml	fil	116	134		18	fil	32			
12202740409-A-韩国-3-1_16000.xml	琐	134	164	suo3	30	paper				
12202740409-A-韩国-3-1_16000.xml	s	134	144		10	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	uo	144	164		20	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	事	164	220	shi4	56	paper				
12202740409-A-韩国-3-1_16000.xml	sh	164	180		16	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	iii	180	220		40	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	sil	220	350		130	sil				
12202740409-A-韩国-3-1_16000.xml	sil	220	350		130	sil	0			
12202740409-A-韩国-3-1_16000.xml	柴	350	398	chai2	48	paper				
12202740409-A-韩国-3-1_16000.xml	ch	350	372		22	paper	0	0	1	3
12202740409-A-韩国-3-1_16000.xml	ai	372	398		26	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	米	398	431	mi3	33	paper				
12202740409-A-韩国-3-1_16000.xml	m	398	408		10	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	i	408	431		23	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	油	431	458	you2	27	paper				
12202740409-A-韩国-3-1_16000.xml	_i	431	438		7	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	iou	438	458		20	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	盐	458	510	yan2	52	paper				
12202740409-A-韩国-3-1_16000.xml	_i	458	473		15	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ian	473	510		37	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	酱	510	554	jiang4	44	paper				
12202740409-A-韩国-3-1_16000.xml	j	510	524		14	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	iang	524	554		30	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	醋	554	590	cu4	36	paper				
12202740409-A-韩国-3-1_16000.xml	c	554	570		16	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	u	570	590		20	paper	0	1	2	1
12202740409-A-韩国-3-1_16000.xml	茶	590	634	cha2	44	paper				
12202740409-A-韩国-3-1_16000.xml	ch	590	604		14	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	a	604	634		30	paper	0	1	3	3
12202740409-A-韩国-3-1_16000.xml	sil	634	696		62	sil				
12202740409-A-韩国-3-1_16000.xml	sil	634	696		62	sil	0			
12202740409-A-韩国-3-1_16000.xml	花	696	738	hua1	42	paper				
12202740409-A-韩国-3-1_16000.xml	h	696	718		22	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ua	718	738		20	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	前	738	758	qian2	20	paper				
12202740409-A-韩国-3-1_16000.xml	q	738	753		15	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ian	753	758		5	paper	0	1	1	3
12202740409-A-韩国-3-1_16000.xml	月	758	796	yue4	38	paper				
12202740409-A-韩国-3-1_16000.xml	_v	758	780		22	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ve	780	796		16	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	下	796	846	xia4	50	paper				
12202740409-A-韩国-3-1_16000.xml	x	796	812		16	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ia	812	846		34	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	fil	846	862		16	fil				
12202740409-A-韩国-3-1_16000.xml	fil	846	862		16	fil	32			
12202740409-A-韩国-3-1_16000.xml	大	862	896	da4	34	paper				
12202740409-A-韩国-3-1_16000.xml	d	862	877		15	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	a	877	896		19	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	手	896	926	shou3	30	paper				
12202740409-A-韩国-3-1_16000.xml	sh	896	910		14	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ou	910	926		16	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	大	926	948	da4	22	paper				
12202740409-A-韩国-3-1_16000.xml	d	926	932		6	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	a	932	948		16	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	脚	948	988	jiao3	40	paper				
12202740409-A-韩国-3-1_16000.xml	j	948	958		10	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	iao	958	988		30	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	sil	988	1060		72	sil				
12202740409-A-韩国-3-1_16000.xml	sil	988	1060		72	sil	0			
12202740409-A-韩国-3-1_16000.xml	精	1060	1102	jing1	42	paper				
12202740409-A-韩国-3-1_16000.xml	j	1060	1076		16	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ing	1076	1102		26	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	打	1102	1124	da3	22	paper				
12202740409-A-韩国-3-1_16000.xml	d	1102	1108		6	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	a	1108	1124		16	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	细	1124	1148	xi4	24	paper				
12202740409-A-韩国-3-1_16000.xml	x	1124	1136		12	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	i	1136	1148		12	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	算	1148	1192	suan4	44	paper				
12202740409-A-韩国-3-1_16000.xml	s	1148	1160		12	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	uan	1160	1192		32	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	sil	1192	1386		194	sil				
12202740409-A-韩国-3-1_16000.xml	sil	1192	1386		194	sil	0			
12202740409-A-韩国-3-1_16000.xml	fil	1386	1406		20	fil				
12202740409-A-韩国-3-1_16000.xml	fil	1386	1406		20	fil	32			
12202740409-A-韩国-3-1_16000.xml	tuo	1406	1462	tuo	56	paper				
12202740409-A-韩国-3-1_16000.xml	t	1406	1410		4	paper	64	0	64	
12202740409-A-韩国-3-1_16000.xml	uo	1410	1462		52	paper	64	1	64	
12202740409-A-韩国-3-1_16000.xml	xie	1462	1500	xie	38	paper				
12202740409-A-韩国-3-1_16000.xml	x	1462	1484		22	paper	64	0	64	
12202740409-A-韩国-3-1_16000.xml	ie	1484	1500		16	paper	64	1	64	
12202740409-A-韩国-3-1_16000.xml	妥	1500	1562	tuo3	62	paper				
12202740409-A-韩国-3-1_16000.xml	t	1500	1534		34	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	uo	1534	1562		28	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	协	1562	1612	xie2	50	paper				
12202740409-A-韩国-3-1_16000.xml	x	1562	1576		14	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ie	1576	1612		36	paper	0	1	0	2
12202740409-A-韩国-3-1_16000.xml	sil	1612	1708		96	sil				
12202740409-A-韩国-3-1_16000.xml	sil	1612	1708		96	sil	0			
12202740409-A-韩国-3-1_16000.xml	温	1708	1758	wen1	50	paper				
12202740409-A-韩国-3-1_16000.xml	_u	1708	1736		28	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	uen	1736	1758		22	paper	0	1	0	1
12202740409-A-韩国-3-1_16000.xml	情	1758	1784	qing2	26	paper				
12202740409-A-韩国-3-1_16000.xml	q	1758	1772		14	paper	0	0	0	1
12202740409-A-韩国-3-1_16000.xml	ing	1772	1784		12	paper	0	1	0	1
