filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
12212720434-C-韩国-2-3-3(2)_16000.xml	fil	0	1		1	fil				
12212720434-C-韩国-2-3-3(2)_16000.xml	fil	0	1		1	fil	32			
12212720434-C-韩国-2-3-3(2)_16000.xml	李	1	9	li3	8	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	l	1	4		3	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	i	4	9		5	paper	0	1	2	1
12212720434-C-韩国-2-3-3(2)_16000.xml	莉	9	52	li4	43	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	l	9	40		31	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	i	40	52		12	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	sil	52	82		30	sil				
12212720434-C-韩国-2-3-3(2)_16000.xml	sil	52	82		30	sil	0			
12212720434-C-韩国-2-3-3(2)_16000.xml	你	82	94	ni3	12	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	n	82	88		6	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	i	88	94		6	paper	0	1	2	1
12212720434-C-韩国-2-3-3(2)_16000.xml	看	94	126	kan4	32	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	k	94	108		14	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	an	108	126		18	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	sil	126	188		62	sil				
12212720434-C-韩国-2-3-3(2)_16000.xml	sil	126	188		62	sil	0			
12212720434-C-韩国-2-3-3(2)_16000.xml	原	188	208	yuan2	20	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	_v	188	199		11	paper	0	0	1	3
12212720434-C-韩国-2-3-3(2)_16000.xml	van	199	208		9	paper	0	1	1	3
12212720434-C-韩国-2-3-3(2)_16000.xml	来	208	230	lai2	22	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	l	208	216		8	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	ai	216	230		14	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	她	230	250	ta1	20	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	t	230	240		10	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	a	240	250		10	paper	0	1	2	1
12212720434-C-韩国-2-3-3(2)_16000.xml	那	250	269	na4	19	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	n	250	259		9	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	a	259	269		10	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	位	269	290	wei4	21	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	_u	269	278		9	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	uei	278	290		12	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	谈	290	332	tan2	42	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	t	290	322		32	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	an	322	332		10	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	了	332	372	le0	40	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	l	332	344		12	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	e	344	372		28	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	那	372	390	na4	18	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	n	372	382		10	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	a	382	390		8	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	么	390	410	me0	20	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	m	390	400		10	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	e	400	410		10	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	多	410	434	duo1	24	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	d	410	420		10	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	uo	420	434		14	paper	0	1	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	年	434	467	nian2	33	paper				
12212720434-C-韩国-2-3-3(2)_16000.xml	n	434	444		10	paper	0	0	0	1
12212720434-C-韩国-2-3-3(2)_16000.xml	ian	444	467		23	paper	0	1	0	1
