AudioFile,Text
12182720305-B-韩国-2—2—5_16000,我已经有女朋友了。我们是自由恋爱的。在别人眼里，我的女朋友不算美女，可我就是喜欢她。可能是“情人眼里出西施”吧，我觉得她长得很耐看，属于那种第一次看见没什么感觉，但越看越好看的类型。她性格活泼大方，也很善解人意。最重要的是我们在一起非常开心，好像总有说不完的话似的。你要问我理想的恋人是什么样的，就是我女朋友这样的。
12182720305-B-韩国-2—2—6_16000,我是个特喜欢浪漫的人。我理想中的恋人一定要长得高高帅帅的，就像电影中的白马王子一样。而且他一定要很讲情调，比如我生日时会送我99朵玫瑰，我心情不好时会陪我雨中散步，情人节会带我去烛光晚餐，常会送我意想不到的礼物。这样的恋爱才够刺激，才会让我深深地享受到恋爱的甜蜜。
12182720305-B-韩国-2—3—1_16000,先立业后成家，大腕儿，黄金王老五，神魂颠倒，曾经沧海难为水，高不成低不就，叫苦不迭，金童玉女，知冷知热，虚荣，珠光宝气，折腾
12182720305-B-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12182720305-B-韩国-3—2—4_16000,许先生：我今年40多岁，是生在新中国，长在红旗下的最普通的一个。我们年轻的时候，整个社会都是透明的，谁收入多少，家庭怎样甚至生活规律别 人都清清楚楚，那时保留隐私简直是不可能的事情。到了 80年代以后，人们的生活丰富起来了，隐私才逐渐多了起来。我觉得隐私主要有两个方面，金钱和感情，也就是有没有私房钱和情人什么的。感情方面该不该有隐私这个很难说，因为情况各不相同，而在金钱方面我是赞成男人设个小金库的。比如我吧，我是家中的长子，帮弟妹上学、找工作、结婚，这都是理所当然的。可如果我每次都伸手向妻子要钱，妻子的脸可能经常会阴天，而我用自己的私房钱解决了这些事情后，我们家就太平多了。其实这男人也挺累的，又得养老，又得养家，还得供孩子上学，要是妻子都通情达理，不给脸子看，谁还费这心思？所以这男人设小金库，除了少数有花花肠子以外，大多数都是妻子给逼出来的。
12182720305-B-韩国-3—3—1_16000,跷着二郎腿，任性，怄气，冷战，胳膊肘往外拐，掺和，避风港，亮起了红灯，晾
12182720313-B-韩国-2—2—4_16000,"小丽，女，26岁，售货员。
我现在还没有男朋友。为什么？没看上呗。不是我看不上他，就是他嫌弃我。现在的小伙子，又要姑娘长得漂亮，还希望人家要贤惠，要温柔，最好还有个好职业。我呢，觉得男人就要有个男人样儿，不要女里女气的。长相上要阳刚一些。性格要比较开朗的，我不喜欢整天闷闷不乐的人，和那样的人一起过日子将来可能会得抑郁症。还有，男人就应该负责任。我讨厌没有责任感的男人，遇到什么事先想到的总是自己，这样的人靠不住。我妈说我太理想化，可这种大事我可不想马马虎虎的，要找就找个称心如意的。你说是吧？"
12182720313-B-韩国-2—3—4_16000,"李莉：我们都是过来人了，才能悟出这个理儿。年轻的时候脑子里多少都有点虚荣的念头，不是看长相就是看地位、钱财，可就是他有大把的钱财不好好跟你过日子你还不是要痛苦一辈子？
孙娟：对呀，你看攀高枝儿的有几个能真正顺心？咱们年级2班的田华，表面上打扮得珠光宝气的，在大家面前笑得很灿烂，其实都是做给别人看的，回到家整天独守空房还得打落了牙齿往肚子里咽，丈夫很少回家，你说和一堆钱过日子有什么意思？
李莉：这月下老人的红线真猜不透是怎么牵的！反正现在我越来越相信姻缘天定了，有时折腾了一圈还是回到原来的那个人身边，你说这不是缘分是什么？
孙娟：唉，是啊，这年头想说爱你真不是件容易事啊。咱们好好珍惜自己的那一半吧。"
12182720313-B-韩国-3—1_16000,冷却，琐事，柴米油盐酱醋茶，花前月下，大手大脚，精打细算，妥协，温情，磨合，判若两人，导火索，一视同仁，一碗水端平，格格不入
12182720313-B-韩国-3—2—2_16000,结婚，意味着两个人要合成一家一起过日子，那么进入婚姻状态后夫妻俩 还应不应该保留自己的隐私？人们对隐私具体是怎么看的呢？我们来听几段采访内容。
