filename	content	beg_pos	end_pos	symbol	time_len	rec_node_type	dp_message	is_yun	perr_msg	perr_level_msg
common_voice_zh-CN_18531540_16000.xml	sil	0	56		56	sil				
common_voice_zh-CN_18531540_16000.xml	sil	0	56		56	sil	0			
common_voice_zh-CN_18531540_16000.xml	印	56	82	yin4	26	paper				
common_voice_zh-CN_18531540_16000.xml	_i	56	72		16	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	in	72	82		10	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	第	82	102	di4	20	paper				
common_voice_zh-CN_18531540_16000.xml	d	82	90		8	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	i	90	102		12	paper	0	1	2	1
common_voice_zh-CN_18531540_16000.xml	安	102	132	an1	30	paper				
common_voice_zh-CN_18531540_16000.xml	_a	102	109		7	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	an	109	132		23	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	维	132	164	wei2	32	paper				
common_voice_zh-CN_18531540_16000.xml	_u	132	152		20	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	uei	152	164		12	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	尔	164	173	er3	9	paper				
common_voice_zh-CN_18531540_16000.xml	_e	164	168		4	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	er	168	173		5	paper	0	1	2	1
common_voice_zh-CN_18531540_16000.xml	斯	173	206	si1	33	paper				
common_voice_zh-CN_18531540_16000.xml	s	173	192		19	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ii	192	206		14	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	是	206	228	shi4	22	paper				
common_voice_zh-CN_18531540_16000.xml	sh	206	219		13	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	iii	219	228		9	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	位	228	243	wei4	15	paper				
common_voice_zh-CN_18531540_16000.xml	_u	228	234		6	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	uei	234	243		9	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	于	243	258	yu2	15	paper				
common_voice_zh-CN_18531540_16000.xml	_v	243	251		8	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	v	251	258		7	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	美	258	278	mei3	20	paper				
common_voice_zh-CN_18531540_16000.xml	m	258	264		6	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ei	264	278		14	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	国	278	294	guo2	16	paper				
common_voice_zh-CN_18531540_16000.xml	g	278	286		8	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	uo	286	294		8	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	加	294	312	jia1	18	paper				
common_voice_zh-CN_18531540_16000.xml	j	294	300		6	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ia	300	312		12	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	利	312	320	li4	8	paper				
common_voice_zh-CN_18531540_16000.xml	l	312	315		3	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	i	315	320		5	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	福	320	338	fu2	18	paper				
common_voice_zh-CN_18531540_16000.xml	f	320	332		12	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	u	332	338		6	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	尼	338	346	ni2	8	paper				
common_voice_zh-CN_18531540_16000.xml	n	338	341		3	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	i	341	346		5	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	亚	346	366	ya4	20	paper				
common_voice_zh-CN_18531540_16000.xml	_i	346	350		4	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ia	350	366		16	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	州	366	400	zhou1	34	paper				
common_voice_zh-CN_18531540_16000.xml	zh	366	376		10	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ou	376	400		24	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	科	400	453	ke1	53	paper				
common_voice_zh-CN_18531540_16000.xml	k	400	448		48	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	e	448	453		5	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	恩	453	466	en1	13	paper				
common_voice_zh-CN_18531540_16000.xml	_e	453	456		3	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	en	456	466		10	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	县	466	490	xian4	24	paper				
common_voice_zh-CN_18531540_16000.xml	x	466	480		14	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ian	480	490		10	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	的	490	500	de0	10	paper				
common_voice_zh-CN_18531540_16000.xml	d	490	494		4	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	e	494	500		6	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	一	500	510	yi2	10	paper				
common_voice_zh-CN_18531540_16000.xml	_i	500	504		4	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	i	504	510		6	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	个	510	528	ge4	18	paper				
common_voice_zh-CN_18531540_16000.xml	g	510	516		6	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	e	516	528		12	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	非	528	552	fei1	24	paper				
common_voice_zh-CN_18531540_16000.xml	f	528	542		14	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	ei	542	552		10	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	建	552	572	jian4	20	paper				
common_voice_zh-CN_18531540_16000.xml	j	552	560		8	paper	0	0	1	3
common_voice_zh-CN_18531540_16000.xml	ian	560	572		12	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	制	572	590	zhi4	18	paper				
common_voice_zh-CN_18531540_16000.xml	zh	572	580		8	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	iii	580	590		10	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	地	590	604	di4	14	paper				
common_voice_zh-CN_18531540_16000.xml	d	590	596		6	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	i	596	604		8	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	区	604	646	qu1	42	paper				
common_voice_zh-CN_18531540_16000.xml	q	604	626		22	paper	0	0	0	1
common_voice_zh-CN_18531540_16000.xml	v	626	646		20	paper	0	1	0	1
common_voice_zh-CN_18531540_16000.xml	sil	646	736		90	sil				
common_voice_zh-CN_18531540_16000.xml	sil	646	736		90					
